model,dataset,prior,epoch,channel_type,channel_spec,norm,kl_penalty,vanilla_loss,vanilla_error,vanilla_bound_ce_lhs,vanilla_bound_ce_rhs,vanilla_bound_01_lhs,vanilla_bound_01_rhs,vanilla_bound_ce_valid,vanilla_bound_01_valid,channel_loss,channel_error,channel_bound_ce_lhs,channel_bound_ce_rhs,channel_bound_01_lhs,channel_bound_01_rhs,channel_bound_ce_valid,channel_bound_01_valid,loss_reduction,error_reduction,loss_reduction_pct,error_reduction_pct,goal_satisfied,bounds_valid,channel_term,kl_final,empirical_nll_loss,empirical_01_error
cnn-9,cifar10,learnt,20,bec,0.1,frob,0.01,0.07642717957496643,0.28290000000000004,0.07642717957496643,3.737416047593392,0.28290000000000004,3.5240518125708733,True,True,0.09449077248573304,0.29269999999999996,0.09449077248573304,0.9520309710415805,0.29269999999999996,0.7453159718230947,True,True,-0.018063592910766604,-0.00979999999999992,-23.63503796846024,-3.464121597737688,False,True,0.04351871714733184,121.35513305664062,0.14034736239150045,0.34706236160998627
cnn-9,cifar10,learnt,10,bec,0.1,frob,0.1,0.08180580139160157,0.2921,0.08180580139160157,2.2050740508478435,0.2921,1.98933823815049,True,True,0.11285359859466552,0.29990000000000006,0.11285359859466552,0.4386398954009277,0.29990000000000006,0.24775477829132653,True,False,-0.031047797203063957,-0.007800000000000029,-37.95305060876944,-2.670318384115039,False,False,0.04351871714733184,4.107985496520996,0.1671313530844844,0.3580164701940855
fcn-4,mnist,learnt,50,rayleigh-zf,10.0,frob,0.01,0.01420106440782547,0.035599999999999965,0.01420106440782547,0.9854853316104011,0.035599999999999965,0.9609802518646894,True,True,0.015735246241092682,0.0383,0.015735246241092682,0.1074913637958237,0.0383,0.08118924439960354,True,True,-0.0015341818332672112,-0.0027000000000000357,-10.803287621326492,-7.584269662921456,False,True,0.007826982981243406,6.074132442474365,0.03146369080043551,0.057765810196655686
cnn-9,cifar10,learnt,20,rayleigh-zf,10.0,frob,1.0,0.10490686893463134,0.3813,0.10490686893463134,3.69736700571122,0.3813,3.483811451327118,True,True,0.13329681158065795,0.35350000000000004,0.13329681158065795,0.3837268306881054,0.35350000000000004,0.1957140072791468,True,False,-0.02838994264602661,0.027799999999999936,-27.062043633879398,7.290847102019391,False,False,0.0032881516997362906,0.15842440724372864,0.1729841216737244,0.360996945082683
cnn-9,cifar10,learnt,10,rayleigh-zf,0.0,frob,0.01,0.1658778190612793,0.5798,0.1658778190612793,2.1720660037479584,0.5798,1.9560831022583114,True,True,0.15661360025405885,0.5389999999999999,0.15661360025405885,0.8799843991190925,0.5389999999999999,0.6739090475393189,True,True,0.009264218807220448,0.04080000000000006,5.584965403842222,7.036909279061755,True,True,0.0102851384515858,112.56888580322266,0.14146730905499733,0.3475426606347709
cnn-4,mnist,learnt,10,bec,0.1,frob,1.0,0.004942094907164574,0.013499999999999956,0.004942094907164574,0.24113053061518222,0.013499999999999956,0.22896230269357493,True,True,0.005747038498520851,0.014900000000000024,0.005747038498520851,0.18803865520709534,0.014900000000000024,0.1755476336584777,True,True,-0.0008049435913562771,-0.0014000000000000679,-16.287497639702295,-10.370370370370907,False,True,0.13267394748723166,0.002839326858520508,0.02576106590687331,0.038252087455490955
cnn-4,mnist,learnt,50,bec,0.5,frob,0.01,0.005102596804499626,0.018299999999999983,0.005102596804499626,0.8398008487114689,0.018299999999999983,0.8275765956576836,True,True,0.006226455047726631,0.020399999999999974,0.006226455047726631,0.25934547960940435,0.020399999999999974,0.24707436896633156,True,True,-0.0011238582432270055,-0.0020999999999999908,-22.025221397778342,-11.475409836065534,False,True,0.19134199476717295,3.416555404663086,0.024683316405858715,0.03695442704893152
fcn-4,mnist,learnt,20,rayleigh-zf,0.0,frob,1.0,0.05917095541954041,0.10629999999999995,0.05917095541954041,0.36629837693470807,0.10629999999999995,0.34076764467809395,True,True,0.061149215698242186,0.10470000000000002,0.061149215698242186,0.10295734069464928,0.10470000000000002,0.07578504494582702,True,False,-0.0019782602787017795,0.0015999999999999348,-3.3432961571691737,1.5051740357478227,False,False,0.025662172475346284,0.004275411367416382,0.03300438941565083,0.06017668516447308
cnn-4,mnist,learnt,20,rayleigh-zf,0.0,frob,0.1,0.20756938457489013,0.28959999999999997,0.20756938457489013,0.2356213128185402,0.28959999999999997,0.22343843513586636,True,False,0.19221750497817994,0.262,0.19221750497817994,0.07979299773286375,0.262,0.06735214350451052,False,False,0.015351879596710194,0.027599999999999958,7.3960230831494815,9.530386740331478,True,False,0.024341379813316084,0.06743434071540833,0.02563443538702605,0.0380752896153793
cnn-4,mnist,learnt,10,bec,0.5,frob,0.01,0.005353602021932602,0.018199999999999994,0.005353602021932602,0.29979857789512354,0.018199999999999994,0.2876303499735162,True,True,0.0059864729642868045,0.021499999999999964,0.0059864729642868045,0.25665226330480073,0.021499999999999964,0.2444222393002144,True,True,-0.0006328709423542023,-0.0032999999999999696,-11.82140435096708,-18.13186813186797,False,True,0.19134199476717295,2.742435932159424,0.02478326796192174,0.03701329196650806
