model,dataset,prior_type,epoch,channel_type,channel_spec,norm_type,loss_type,lhs,rhs,empirical,channel_term,kl_term,gap,relative_gap,dimension,lipschitz,kl_final
cnn-9,cifar10,rand,50,bec,outage=0.5,frob,01,0.8779,1.5551880715325554,0.9275874217507474,0.07826044331633007,1.1970366287479075,0.6772880715325554,0.7714865833609242,8192.0,0.0012209281558170915,267.66552734375
cnn-9,cifar10,rand,50,rayleigh-zf,SNR=0.0dB,frob,ce,0.3037994861602783,2.153469355983423,0.2611588744318032,0.0102851384515858,1.1970366287479075,1.8496698698231446,6.088456215647769,8192.0,0.00654772249981761,267.66552734375
cnn-9,cifar10,rand,50,rayleigh-zf,SNR=0.0dB,frob,01,0.8996,1.4872138800491983,0.9274143503660279,0.0102851384515858,1.1970366287479075,0.5876138800491983,0.6531946198857251,8192.0,0.00654772249981761,267.66552734375
cnn-9,cifar10,rand,50,bec,outage=0.1,spec,ce,0.1978796601295471,2.162096734051554,0.2611577610504161,0.018739445134997368,1.1970366287479075,1.9642170739220066,9.926321243103411,8192.0,0.018739445134997368,267.66552734375
cnn-9,cifar10,rand,50,bec,outage=0.1,spec,01,0.8831,1.4956670733512227,0.9275874217507474,0.018739445134997368,1.1970366287479075,0.6125670733512227,0.6936553882360126,8192.0,0.018739445134997368,267.66552734375
cnn-9,cifar10,rand,50,bec,outage=0.5,spec,ce,0.19798789024353028,2.1605600685672446,0.2611577610504161,0.01720277965068817,1.1970366287479075,1.9625721783237142,9.912586956251209,8192.0,0.01720277965068817,267.66552734375
cnn-9,cifar10,rand,50,bec,outage=0.5,spec,01,0.8779,1.4941304078669135,0.9275874217507474,0.01720277965068817,1.1970366287479075,0.6162304078669135,0.7019369038237995,8192.0,0.01720277965068817,267.66552734375
cnn-9,cifar10,rand,50,rayleigh-zf,SNR=0.0dB,spec,ce,0.3037994861602783,2.2573355982236074,0.2611588744318032,0.11415138069177012,1.1970366287479075,1.953536112063329,6.430346992202232,8192.0,0.07267102599143982,267.66552734375
cnn-9,cifar10,rand,50,rayleigh-zf,SNR=0.0dB,spec,01,0.8996,1.5910801222893827,0.9274143503660279,0.11415138069177012,1.1970366287479075,0.6914801222893827,0.7686528704861969,8192.0,0.07267102599143982,267.66552734375
cnn-9,cifar10,rand,50,rayleigh-zf,SNR=10.0dB,frob,ce,0.22056775093078612,2.1464723692315735,0.2611588744318032,0.0032881516997362906,1.1970366287479075,1.9259046183007873,8.731578438704458,8192.0,0.006619603373110294,267.66552734375
cnn-9,cifar10,rand,50,rayleigh-zf,SNR=10.0dB,frob,01,0.899,1.4802168932973487,0.9274143503660279,0.0032881516997362906,1.1970366287479075,0.5812168932973487,0.6465148979948261,8192.0,0.006619603373110294,267.66552734375
cnn-9,cifar10,learnt,20,rayleigh-zf,SNR=10.0dB,spec,ce,0.10490686893463134,3.7289535833316774,0.11487997961203708,0.03487472932019379,3.346910081597443,3.624046714397046,34.5453710629304,8192.0,0.07020870596170425,748.391845703125
cnn-9,cifar10,learnt,20,rayleigh-zf,SNR=10.0dB,spec,01,0.3813,3.5153980289475757,0.3284355339961387,0.03487472932019379,3.346910081597443,3.1340980289475757,8.21950702582632,8192.0,0.07020870596170425,748.391845703125
cnn-9,cifar10,learnt,20,bec,outage=0.1,frob,ce,0.07642717957496643,3.737416047593392,0.1148897754081969,0.04351871714733184,3.346910081597443,3.6609888680184257,47.90166127257658,8192.0,0.0015182452043518424,748.391845703125
cnn-9,cifar10,learnt,20,bec,outage=0.1,frob,01,0.28290000000000004,3.5240518125708733,0.3282540104307153,0.04351871714733184,3.346910081597443,3.241151812570873,11.456881628034191,8192.0,0.0015182452043518424,748.391845703125
cnn-9,cifar10,learnt,20,bec,outage=0.5,frob,ce,0.08599846363067627,3.77215777376239,0.1148897754081969,0.07826044331633007,3.346910081597443,3.686159310131714,42.863083298349004,8192.0,0.0012209281558170915,748.391845703125
